1635236500.732619
1635240934.843308
1635241834.52075
1637800852.745631,1.22,166
1637804928.09301,0.43,164
1637806011.677359,1.26,199
1637823279.8553,0.41,146
1637829878.554086,0.43,146
1637833200.231263,0.43,152
1637842490.574068,0.39,155
1637846760.644874,0.43,162
1637850978.174145,1.41,154
1637882538.364169,0.63,162
1637888074.475207,1.22,146
1637896842.107315,1.39,146
1637908222.153863,0.4,67
1637908291.263961,0.39,81
1637913217.620381,0.41,146
1637919554.218099,0.44,209
1637920413.500145,0.89,191
1637922262.559821,0.43,203
1637924965.810775,0.44,170
1637929297.572658,0.43,146
1637933200.751714,1.11,136
1637967222.025466,0.42,144
1637976022.956756,0.42,150
1637979568.122963,1.35,152
1637991350.124153,0.4,151
1637997544.246018,0.41,165
1638003572.177401,1.29,152
1638015371.872545,0.39,154
1638020841.225313,0.5,145
1638028479.001999,0.43,143
1638055757.210055,0.41,144
1638057960.782447,1.39,178
1638087812.288049,1.35,150
1638095001.758514,0.51,145
1638100127.52698,0.58,172
1638109196.432656,0.42,150
1638140419.096997,0.42,185
1638142153.000452,1.37,201
1638144154.442048,1.53,176
1638144821.951148,1.45,170
1638153164.403052,0.59,176
1638173015.007721,1.68,150
1638177565.399042,0.42,174
1638178232.278716,0.43,179
1638189463.241243,0.38,146
1638197152.446642,1.15,158
1638225969.796014,1.02,148
1638230456.60724,1.53,145
1638235719.185899,0.4,142
1638238473.94286,0.37,150
1638258451.882262,0.41,142
1638261223.781059,0.39,172
1638267975.06854,0.51,156
1638270013.94075,1.07,168
1638275190.639827,0.68,107
1638275300.241601,0.44,60
1638286133.653811,1.08,169
1638316045.505253,0.42,150
1638320693.35819,1.31,140
1638321519.952667,0.4,153
1638322439.857182,0.41,89
1638322531.229955,0.43,65
1638337409.676706,0.43,52
1638337464.295604,0.41,106
1638339228.037932,0.42,167
1638346750.026249,0.41,152
1638351468.320603,1.71,179
1638352441.11737,0.41,165
1638354596.333483,1.02,182
1638368041.338964,1.44,168
1638375843.853077,0.89,205
1638402896.180522,1.48,153
1638406987.22504,1.63,164
1638408521.497387,0.42,174
1638422336.731961,1.53,168
1638432736.04259,0.54,14
1638432752.282038,0.4,136
1638436823.884669,0.56,134
1638436960.066769,0.37,42
1638437800.563189,0.56,177
1638446262.743775,1.53,167
1638448968.073127,1.49,154
1638450396.483409,0.81,158
1638487349.577895,0.43,152
1638494283.494235,1.48,142
1638507175.859293,1.29,146
1638511346.72942,0.39,156
1638518676.541329,0.41,183
1638522035.531525,1.07,142
1638524507.097775,0.37,179
1638529464.364812,0.42,158
1638538686.960357,1.41,153
1638545991.788886,0.42,193
1638577526.849981,1.53,152
1638580745.158918,1.53,198
1638581654.197207,1.02,197
1638594523.452935,0.4,159
1638597205.857817,1.14,152
1638607287.313098,0.42,162
1638616634.288521,1.53,152
1638622631.418312,0.41,166
1638634228.70845,1.33,150
1638663248.097593,1.53,183
1638666131.925802,0.75,185
1638676206.606544,1.53,172
1638683188.265915,1.71,170
1638693024.843008,0.44,174
1638696262.991779,0.39,158
1638705769.907591,0.54,163
1638709647.967537,1.59,162
1638715728.032941,0.38,162
1638748287.983314,0.89,165
1638753442.701966,1.53,221
1638754207.417475,0.43,152
1638769063.078697,1.24,158
1638781691.616302,0.4,171
1638782712.083861,0.42,180
1638783672.282952,0.7,163
1638790563.451143,0.4,168
1638795761.495453,0.43,152
1638820436.903915,0.42,85
1638820524.702766,0.42,56
1638835320.604184,1.05,155
1638838260.621992,0.43,170
1638844605.799241,1.63,197
